doctor_name,designation,department,qualification,experience,language,specialization,description,profile_url
Dr. Shubhi Tyagi,Consultant,ENT,"MBBS, MS (ENT)",7+,"English Dr. Shubhi Tyagi is a Consultant in the Dept of ENT at Sharda Hospital with expertise in management of simple and complex conditions associated with ear, nose and throat diseases. She has been trained at Asia's high volume surgical ENT center at Bangalore Medical College and Victoria Hospital, Bangalore. She has vast experience and knowledge in the diagnosis as well as treatment of both adult as well as peadiatric ENT issues such as hearing problem, nasal blockage, snoring, sleep apnoea, vertigo, tinnitus, swallowing problems. She also has rich experience of doing both routine and advanced surgeries such as endoscopic sinus surgery, tonsillectomy, adenoidectomy, sleep apnoea surgeries, thyroid surgeries and ear surgeries, tracheostomy, foreign body removal, airway emergencies. She is also proficient in advanced procedures like advanced functional sinus surgery, thyroid surgeries, endoscopic ear surgeries and complex airway surgeries. She has been trained in assessment of swallow disorders with functional endoscopic assessment of swallowing. She has active interest in Allergic conditions and is proficient in Skin Allergy Testing. She has been trained in treating vertigo and balance disorder.","About Dr. Shubhi Tyagi is a Consultant in the Dept of ENT at Sharda Hospital with expertise in management of simple and complex conditions associated with ear, nose and throat diseases. She has been trained at Asia's high volume surgical ENT center at Bangalore Medical College and Victoria Hospital, Bangalore. She has vast experience and knowledge in the diagnosis as well as treatment of both adult as well as peadiatric ENT issues such as hearing problem, nasal blockage, snoring, sleep apnoea, vertigo, tinnitus, swallowing problems. She also has rich experience of doing both routine and advanced surgeries such as endoscopic sinus surgery, tonsillectomy, adenoidectomy, sleep apnoea surgeries, thyroid surgeries and ear surgeries, tracheostomy, foreign body removal, airway emergencies. She is also proficient in advanced procedures like advanced functional sinus surgery, thyroid surgeries, endoscopic ear surgeries and complex airway surgeries. She has been trained in assessment of swallow disorders with functional endoscopic assessment of swallowing. She has active interest in Allergic conditions and is proficient in Skin Allergy Testing. She has been trained in treating vertigo and balance disorder.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-shubhi-tyagi
Dr. Manoj Kumar NandKeoliar,Professor,nan,"M.B.B.S – Govt. Medical College, Srinagar,Kashmir MD (Biochemistry) – Rajiv Gandhi University, Bangalore, Karnataka MD (Microbiology) –King Georges Medical University, Lucknow, UP",35 years of progressive working experience.,"Hindi Dr. Manoj Kumar NandKeoliar, an alumnus of Rajiv Gandhi University of Health Sciences, Bangalore, completed his M.D. in Biochemistry. He has also done M.D. in Microbiology from King George's Medical University, Lucknow. Dr. Nandkeoliar has got a vast experience of Laboratory Management of more than 13 Years in both Government and private sectors. He has a number of publications in various National and International journals. Dr. Nandkeoliar served in Central Health Service (CHS) of Govt. of India for more than 30 years and held several important technical and administrative posts under Ministry of Health & Family Welfare.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-manoj-kumar-nandkeoliar
Dr. Rohit Saxena,Professor and HOD,ENT,"Qualification Year M.S. (E.N.T-KGMC) 1998 M.B.B.S, KGMC 1994","Experience Number of Years Professor & HOD (School of Medical Sciences & research, Sharda Univ) 7 Yrs Professor, Santosh Medical College 2 Yrs UG/PG Teacher 10 Yrs Total 19 yrs","English ,Hindi Dr. Rohit Saxena has been deputed as HOD in ENT, Head & Neck Surgery at Sharda Hospital. He completed his medical graduation in 1994 from K.G. Medical College, Lucknow, which is one of the largest teaching hospitals in Asia and ranks 5th in all India ranking. After that, he pursued his post graduation in Otorhinolaryngology and Head & neck surgery from the same institute in 1995. After doing 4 months of senior residency at Sir Ganga Ram Hospital, New Delhi, he joined the Santosh Medical College, Ghaziabad U.P. as an Assistant Professor in Department of E.N.T. in May 1999. He worked there for 11 years and 05 months.and helped to develop the department from undergraduate to postgraduate department and left as Prof.& HOD in November 2010 and joined School of Medical Sciences, Sharda University in November 2010 and is working till date.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-rohit-saxena
Dr. Devendra Kumar,Professor and HOD,nan,"B.Sc , MBBS, M. D. (respiratory medicine), F.C.C.P.",20+,"English ,Hindi Dr. Devendra Kumar Singh is a highly experienced and respected medical professional who currently works as a professor and head of the department of respiratory medicine. With over 20 years of experience in the field, Dr. Singh has established himself as a leading authority on respiratory medicine, and he has made significant contributions to the field through his research, teaching, and clinical practice. Throughout his career, Dr. Singh has focused on improving the diagnosis and treatment of respiratory disorders, and he has worked with a wide range of patients with conditions such as asthma, COPD, lung cancer, and more. He has also been involved in numerous research projects aimed at better understanding the underlying causes of respiratory diseases and developing more effective treatments.","About Dr. Devendra Kumar Singh is a highly experienced and respected medical professional who currently works as a professor and head of the department of respiratory medicine. With over 20 years of experience in the field, Dr. Singh has established himself as a leading authority on respiratory medicine, and he has made significant contributions to the field through his research, teaching, and clinical practice. Throughout his career, Dr. Singh has focused on improving the diagnosis and treatment of respiratory disorders, and he has worked with a wide range of patients with conditions such as asthma, COPD, lung cancer, and more. He has also been involved in numerous research projects aimed at better understanding the underlying causes of respiratory diseases and developing more effective treatments.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-devendra-kumar
Dr. Mohan Bandhu Gupta,Professor,nan,"Qualification Year F.C.C.S 2003 M.D. (Respiratory Medicine , King George's Medical University) 2000 M.B.B.S (King George's Medical University) 1995","Experience Years Professor & HOD (School of Medical Sciences & Research, Sharda Univ.) 1 yr 7 months Professor (Santosh Medical College) 3 yrs 4 months Associate Professor (Santosh Medical College) 4 yrs Assistant Professor (Santosh Medical College 5 yrs 3 months Senior Resident (Santosh Medical College) 3 yrs Total Experience 17 yr 4 months","English ,Hindi Dr. Mohan Bandhu Gupta has been working with Sharda Hospital as a Professor for the past 1 year and 7 months and has a total career span of 17 years. Dr. Gupta is an alumnus of the King George’s Medical College, Lucknow. Before joining Sharda Hospital, he was working in the respiratory department at Santosh Medical College Ghaziabad for the past 15 years. A soft spoken and knowledgeable professional, he is very competent in Bronchoscopy and ICU Management.","About Dr. Mohan Bandhu Gupta has been working with Sharda Hospital as a Professor for the past 1 year and 7 months and has a total career span of 17 years. Dr. Gupta is an alumnus of the King George’s Medical College, Lucknow. Before joining Sharda Hospital, he was working in the respiratory department at Santosh Medical College Ghaziabad for the past 15 years. A soft spoken and knowledgeable professional, he is very competent in Bronchoscopy and ICU Management. Research & Publications Co-Supervisor of 10 Thesis of MD students Specialization Respirato More Related Doctors Dr. Devendra Kumar Professor and HOD Book Appointment View all Doctors Find A Doctor Contact Us Plot No. 32-34, Knowledge Park III, Greater Noida, Uttar Pradesh - 201310 +91-8447333999 info@shardahospital.org Quick Links","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-mohan-bandhu-gupta
Dr. Megha Ranjan,Associate Professor,Gynaecology,"MBBS, MD",4 Year,"English ,Hindi Dr. Megha Ranjan serves as an Assistant Prof. OBG at SMS&R, Greater Noida (a medical research center under Sharda Hospital. She has completed MBBS from Ganesh Shanker Vidyarthi Medical College, Kanpur (Govt. Medical College). She has acquired her master’s degree in obstetrics and gynecology from Maharani Lakshmi Bai Govt. Medical College, Jhansi. She has taken certified training in USG Obs & Gynae with a fellowship in minimal access surgery (Laparoscopy) and fellowship in Assisted reproductive techniques. She has cleared her exam for membership of Royal College of Obstetrics and Gynecology (MRCOG-1). She has earned the 7 years of experience after completing her MD in this field. Her special field of interest is infertility. But along with infertility, she would also like to help patients by treating their major and minor gynecological and obstetrical problems. She wants to spread awareness amongst the women regarding maternal and child health, personal hygiene and family planning by counseling them",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-megha-ranjan
Dr. Shelly Agarwal,Professor,Gynaecology,"MBBS,MS (OBG)",15 Years,"English ,Hindi Dr. Shelly Agarwal is working as Associate Prof. OBG at School of Medical Sciences & Research, Sharda Hospital with a special interest in the field of infertility and high-risk pregnancy. Did her graduation and post graduation from M.L.B Medical college, Jhansi. Received honors, distinction and gold medals in various subjects during MBBS and stood 3rd in University. Awarded Gold medal for the best resident OBG in 2002, M.L.B. Medical College, Jhansi. Presented papers at various state and national conferences and won the best paper award in UPCOG. She was invited as national faculty, FOGSI and as a guest speaker in many national & state conferences. She is a certified endoscopic surgeon.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-shelly-agarwal
Dr. Samta Gupta,Professor,Gynaecology,"M.B.B.S, M.S (OBG)",13 Years,"English ,Hindi Joined SMS&R in 2009, Dr. Samta Gupta is presently working as Associate Professor in Obst & Gynae at School of Medical Sciences & Research, Greater Noida. She has been practicing as Obstetrician and Gynecologist for the last 13 years. Did her MBBS and MS in Obst & Gynae from the reputed Govt.S.N. Medical College, Agra where she was exposed to all obstetric & gynecological emergencies. She has been trained in many routine Gynae and Obs surgeries. She was a meritorious student throughout her under graduation and post graduation. During graduation, she received Gold medal and distinction in various subjects. She has presented many papers at State & National Conferences. She received the best paper award in FOGSI. She was invited as national faculty FOGSI and as guest speaker at many national & state conferences. She has been awarded prestigious fellowship - FICOG (Fellowship of Indian College of Obstetrics and Gynecology). Her special interests are in the field of infertility, high-risk pregnancy, and endoscopy. She is also an active member of FOGSI. She is highly interested in academics and keeps herself updated by attending CME and seminars.","About Joined SMS&R in 2009, Dr. Samta Gupta is presently working as Associate Professor in Obst & Gynae at School of Medical Sciences & Research, Greater Noida. She has been practicing as Obstetrician and Gynecologist for the last 13 years. Did her MBBS and MS in Obst & Gynae from the reputed Govt.S.N. Medical College, Agra where she was exposed to all obstetric & gynecological emergencies. She has been trained in many routine Gynae and Obs surgeries. She was a meritorious student throughout her under graduation and post graduation. During graduation, she received Gold medal and distinction in various subjects. She has presented many papers at State & National Conferences. She received the best paper award in FOGSI. She was invited as national faculty FOGSI and as guest speaker at many national & state conferences. She has been awarded prestigious fellowship - FICOG (Fellowship of Indian College of Obstetrics and Gynecology). Her special interests are in the field of infertility, high-risk pregnancy, and endoscopy. She is also an active member of FOGSI. She is highly interested in academics and keeps herself updated by attending CME and seminars.","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-samta-gupta
Dr. Archana Mehta,Professor and HOD,Gynaecology,"MBBS, MD",18 years,"English ,Hindi Dr. Archana Mehta joined School of Medical Sciences & Research, Sharda Hospital in 2005 as Assistant Professor. Presently she is working as Associate Prof. OBG at SMS&R, Greater Noida with a special interest in dealing the high-risk pregnancies. Did her graduation (1993): and postgraduation (1998): from Lady Harding Medical College, New Delhi. She has been practicing as Obstetrician and Gynaecologist for the last 18 years. Presented papers at various state and national conferences. She was invited as national faculty, FOGSI and as a guest speaker at many national & state conferences. She has research publications in international journals. She is a certified endoscopic surgeon.",,"Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-archana-mehta
Dr. Kunal Kumar,Professor and HOD,Department of Psychiatry,"Qualification Year M.D. (Psychiatry, Patna Medical College) 2005 M.B.B.S (Nalanda Medical College, patna) 1998","Experience Number of Years Professor (School of Medical Sciences & Research, Sharda Univ) 10 months Associate Professor(School of Medical Sciences & Research, Sharda Univ 3 yrs Assistant Professor School of Medical Sciences & Research, Sharda Univ 4 yrs Senior Resident (Safdarjang Hospital & Vardman Mahaveer Medical College) 3 yrs Total Experience 12 yrs","English ,Hindi Dr. Kunal Kumar is employed with Sharda Hospital as a Professor in the Department of Psychiatry. With excellence in the field of psychiatry, he has his interest in drug de-addiction and child psychiatry. Dr. Kumar has been serving the medical industry for last 15 years and still counting. Apart from this, he is also a member of many societies and communities that keeps on adding the new methods and procedures for psychiatric treatments.","About Dr. Kunal Kumar is employed with Sharda Hospital as a Professor in the Department of Psychiatry. With excellence in the field of psychiatry, he has his interest in drug de-addiction and child psychiatry. Dr. Kumar has been serving the medical industry for last 15 years and still counting. Apart from this, he is also a member of many societies and communities that keeps on adding the new methods and procedures for psychiatric treatments. Memberships Indian Psychiatric Society Delhi Psychiatric Society Indian Association of Private Psychiatrist Specialization Psychiatry More Related Doctors Dr. Abhinit Kumar Professor Book Appointment View all Doctors Find A Doctor Contact Us Plot No. 32-34, Knowledge Park III, Greater Noida, Uttar Pradesh - 201310 +91-8447333999 info@shardahospital.org Quick Links","Find a Doctor International Patients Covid Vaccination Patient & Visitors Patient Portal Blog Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Minimal Access Surgery Institute of IVF Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Ophthalmology Dermatology, Venereology & Leprosy Nutrition & Dietetics Pulmonology Medical Package More Make Appointment Health Library Media Coverage Awards & Accreditations Centre of Excellence Contact Careers Find a Doctor International Patients Get A Second Opinion Patient Stories +91-8447333999 +91-120-2333999 Specialities Centre Of Excellence Institute of Renal Sciences & Transplant Institute of Neuro Sciences Institute of Dental Sciences Institute of Critical Care & Anesthesiology Institute of Cardiology Institute of Child Care Institute of Orthopedic & Spine Institute of Oncology Institute of Plastic Aesthetic Surgery Institute of Rheumatology Institute of Minimal Access Surgery Institute of IVF Specialities ENT and Head & Neck Surgery Radio Diagnosis Gynaecology & Obstetrics Physiotherapy Ophthalmology Dermatology, Venereology & Leprosy Laparoscopic Surgery Internal Medicine Respiratory Medicine and Tuberculosis Nutrition & Dietetics Pulmonology Find a Doctor International Patients Covid Vaccination Make Appointment About Us About Us Empanelments Leadership Health Packages Health Library News & Events Events Media Coverage Awards & Accreditations Circulars Career",https://www.shardahospital.org/doctor/dr-kunal-kumar
